"ZaporednaStevilkaPN"	"DatumPN"	"VNaselju"	"VremenskeOkoliscine"	"Starost"	"Spol"	"VrednostAlkotesta"
2463	2020-02-26 13:00:00	"NE"	"DEŽEVNO"	87	"MOŠKI"	0
2616	2020-02-28 17:00:00	"DA"	"JASNO"	31	"ŽENSKI"	0
7689	2020-07-12 01:00:00	"DA"	"DEŽEVNO"	34	"MOŠKI"	0
4206	2020-04-26 19:00:00	"NE"	"DEŽEVNO"	80	"MOŠKI"	0,6
8329	2020-07-25 00:00:00	"NE"	"JASNO"	31	"ŽENSKI"	0
4148	2020-04-24 15:00:00	"DA"	"JASNO"	22	"ŽENSKI"	0
3345	2020-03-14 19:00:00	"DA"	"JASNO"	25	"MOŠKI"	0,4
9974	2020-08-31 07:00:00	"DA"	"OBLAÈNO"	75	"MOŠKI"	0
2052	2020-02-15 19:00:00	"DA"	"JASNO"	77	"MOŠKI"	0
1630	2020-02-09 21:00:00	"NE"	"JASNO"	30	"MOŠKI"	0,86
2905	2020-03-08 20:00:00	"NE"	"JASNO"	26	"ŽENSKI"	0
7072	2020-07-07 06:00:00	"DA"	"JASNO"	64	"ŽENSKI"	0
8780	2020-08-08 17:00:00	"NE"	"JASNO"	54	"ŽENSKI"	0,21
9026	2020-07-27 15:00:00	"DA"	"JASNO"	19	"MOŠKI"	0
3152	2020-03-12 21:00:00	"DA"	"JASNO"	20	"MOŠKI"	0,76
5210	2020-05-26 06:00:00	"NE"	"OBLAÈNO"	32	"MOŠKI"	0
6257	2020-06-18 14:00:00	"NE"	"JASNO"	44	"ŽENSKI"	0
8330	2020-07-30 09:00:00	"DA"	"JASNO"	74	"ŽENSKI"	0
5108	2020-05-22 17:00:00	"DA"	"JASNO"	19	"ŽENSKI"	0
3584	2020-03-12 14:00:00	"NE"	"JASNO"	56	"MOŠKI"	0
4781	2020-05-15 11:00:00	"NE"	"DEŽEVNO"	54	"MOŠKI"	0
7731	2020-07-17 16:00:00	"DA"	"OBLAÈNO"	45	"MOŠKI"	0
3927	2020-04-15 21:00:00	"NE"	"JASNO"	36	"MOŠKI"	0
4152	2020-04-25 17:00:00	"NE"	"JASNO"	72	"MOŠKI"	0,75
5014	2020-05-21 09:00:00	"NE"	"JASNO"	59	"MOŠKI"	0
6722	2020-06-19 12:00:00	"NE"	"JASNO"	59	"MOŠKI"	0
191	2020-01-06 20:00:00	"DA"	"OBLAÈNO"	33	"ŽENSKI"	0
8553	2020-08-04 16:00:00	"NE"	"JASNO"	57	"MOŠKI"	0
5778	2020-03-10 17:00:00	"DA"	"OBLAÈNO"	30	"MOŠKI"	0
921	2020-01-23 06:00:00	"NE"	"OBLAÈNO"	52	"ŽENSKI"	0
4122	2020-04-24 12:00:00	"DA"	"JASNO"	85	"MOŠKI"	0
3898	2020-04-09 12:00:00	"DA"	"JASNO"	59	"ŽENSKI"	0
1229	2020-01-27 07:00:00	"DA"	"NEZNANO"	61	"MOŠKI"	0
5242	2020-05-22 11:00:00	"DA"	"JASNO"	71	"MOŠKI"	0
1310	2020-01-31 05:00:00	"NE"	"OBLAÈNO"	21	"MOŠKI"	0
5156	2020-05-22 15:00:00	"DA"	"JASNO"	42	"MOŠKI"	0
9973	2020-08-28 16:00:00	"NE"	"JASNO"	82	"MOŠKI"	0
6963	2020-06-28 07:00:00	"DA"	"JASNO"	53	"MOŠKI"	0
128	2020-01-06 14:00:00	"DA"	"JASNO"	23	"MOŠKI"	0
3146	2020-03-12 09:00:00	"DA"	"JASNO"	34	"ŽENSKI"	0
2057	2020-02-12 16:00:00	"DA"	"JASNO"	26	"MOŠKI"	0
7733	2020-07-21 05:00:00	"NE"	"JASNO"	19	"MOŠKI"	0
7141	2020-07-08 17:00:00	"DA"	"JASNO"	20	"MOŠKI"	0
6566	2020-06-27 03:00:00	"NE"	"JASNO"	29	"MOŠKI"	0,68
1913	2020-02-15 14:00:00	"DA"	"JASNO"	66	"MOŠKI"	0
2358	2020-02-24 22:00:00	"DA"	"JASNO"	36	"MOŠKI"	0
