"ZaporednaStevilkaPN"	"DatumPN"	"VNaselju"	"VremenskeOkoliscine"	"Starost"	"Spol"	"VrednostAlkotesta"
1080	2020-01-17 10:00:00	"DA"	"OBLAÈNO"	20	"MOŠKI"	0
1244	2020-01-29 19:00:00	"DA"	"OBLAÈNO"	33	"ŽENSKI"	0
8909	2020-08-10 21:00:00	"NE"	"JASNO"	46	"MOŠKI"	0
7929	2020-07-16 20:00:00	"DA"	"DEŽEVNO"	56	"MOŠKI"	0
6539	2020-06-27 15:00:00	"DA"	"JASNO"	63	"MOŠKI"	0,52
3233	2020-03-13 11:00:00	"DA"	"DEŽEVNO"	30	"ŽENSKI"	0
3491	2020-03-24 13:00:00	"DA"	"OBLAÈNO"	20	"MOŠKI"	0
960	2020-01-25 23:00:00	"DA"	"OBLAÈNO"	25	"MOŠKI"	0,78
9295	2020-07-31 09:00:00	"DA"	"NEZNANO"	43	"ŽENSKI"	0
7080	2020-07-07 12:00:00	"DA"	"JASNO"	60	"MOŠKI"	0
5365	2020-05-29 09:00:00	"DA"	"JASNO"	57	"MOŠKI"	0
9319	2020-08-14 21:00:00	"NE"	"DEŽEVNO"	20	"MOŠKI"	0
9052	2020-08-10 13:00:00	"DA"	"JASNO"	22	"ŽENSKI"	0
43	2020-01-03 11:00:00	"NE"	"OBLAÈNO"	78	"MOŠKI"	0
9950	2020-08-15 00:00:00	"DA"	"JASNO"	24	"ŽENSKI"	0
949	2020-01-14 07:00:00	"DA"	"MEGLA"	71	"MOŠKI"	0
2838	2020-03-06 06:00:00	"NE"	"DEŽEVNO"	27	"MOŠKI"	0
7822	2020-07-21 18:00:00	"NE"	"OBLAÈNO"	24	"ŽENSKI"	0
7416	2020-07-13 14:00:00	"DA"	"JASNO"	38	"ŽENSKI"	0
8471	2020-07-26 09:00:00	"DA"	"JASNO"	47	"MOŠKI"	0
6754	2020-06-05 14:00:00	"DA"	"JASNO"	50	"ŽENSKI"	0
8174	2020-07-27 18:00:00	"DA"	"JASNO"	45	"ŽENSKI"	0
3607	2020-03-29 00:00:00	"NE"	"JASNO"	37	"MOŠKI"	0,47
2195	2020-02-20 18:00:00	"NE"	"JASNO"	44	"MOŠKI"	0,86
4912	2020-05-14 15:00:00	"DA"	"OBLAÈNO"	68	"MOŠKI"	0
1300	2020-01-29 10:00:00	"NE"	"JASNO"	71	"MOŠKI"	0
5140	2020-05-23 15:00:00	"NE"	"OBLAÈNO"	23	"MOŠKI"	0,58
3359	2020-03-11 14:00:00	"DA"	"JASNO"	18	"MOŠKI"	0
4272	2020-04-30 09:00:00	"DA"	"OBLAÈNO"	53	"MOŠKI"	0
9738	2020-08-30 15:00:00	"NE"	"OBLAÈNO"	24	"MOŠKI"	0
6928	2020-07-02 23:00:00	"NE"	"DEŽEVNO"	67	"MOŠKI"	0
5250	2020-05-27 05:00:00	"NE"	"JASNO"	38	"MOŠKI"	0
3199	2020-03-13 07:00:00	"NE"	"OBLAÈNO"	30	"MOŠKI"	0
5	2020-01-02 17:00:00	"DA"	"JASNO"	34	"MOŠKI"	0
4013	2020-04-20 09:00:00	"NE"	"OBLAÈNO"	67	"MOŠKI"	0
9180	2020-08-15 06:00:00	"NE"	"DEŽEVNO"	20	"MOŠKI"	0
481	2020-01-13 05:00:00	"DA"	"OBLAÈNO"	24	"ŽENSKI"	0
445	2020-01-11 12:00:00	"DA"	"NEZNANO"	62	"ŽENSKI"	0
6064	2020-06-04 22:00:00	"DA"	"OBLAÈNO"	22	"MOŠKI"	0
9156	2020-08-14 11:00:00	"NE"	"JASNO"	66	"MOŠKI"	0
9934	2020-08-27 22:00:00	"NE"	"JASNO"	22	"MOŠKI"	0
5541	2020-06-02 10:00:00	"DA"	"JASNO"	35	"MOŠKI"	0
8578	2020-08-04 08:00:00	"NE"	"OBLAÈNO"	81	"MOŠKI"	0
3126	2020-03-12 10:00:00	"DA"	"JASNO"	58	"MOŠKI"	0
589	2020-01-17 08:00:00	"DA"	"OBLAÈNO"	26	"ŽENSKI"	0
2970	2020-03-07 17:00:00	"NE"	"JASNO"	78	"ŽENSKI"	0
3660	2020-03-28 00:00:00	"NE"	"JASNO"	29	"MOŠKI"	0,78
1843	2020-02-12 08:00:00	"DA"	"JASNO"	64	"MOŠKI"	0
8856	2020-08-12 00:00:00	"DA"	"OBLAÈNO"	56	"MOŠKI"	0,56
4443	2020-04-23 12:00:00	"DA"	"JASNO"	52	"MOŠKI"	0
8247	2020-07-29 13:00:00	"NE"	"JASNO"	44	"ŽENSKI"	0
9855	2020-08-28 16:00:00	"NE"	"JASNO"	49	"MOŠKI"	0
9407	2020-08-22 08:00:00	"DA"	"JASNO"	77	"MOŠKI"	0
4906	2020-05-19 22:00:00	"DA"	"OBLAÈNO"	33	"MOŠKI"	0,62
3598	2020-03-13 17:00:00	"DA"	"OBLAÈNO"	38	"ŽENSKI"	0
6528	2020-06-22 14:00:00	"DA"	"NEZNANO"	80	"MOŠKI"	0
8735	2020-08-08 16:00:00	"DA"	"JASNO"	20	"MOŠKI"	0
4592	2020-05-11 16:00:00	"NE"	"JASNO"	79	"MOŠKI"	0
6482	2020-06-22 17:00:00	"NE"	"JASNO"	63	"MOŠKI"	0,87
6034	2020-05-22 21:00:00	"DA"	"JASNO"	47	"ŽENSKI"	0
8211	2020-07-28 08:00:00	"DA"	"JASNO"	59	"MOŠKI"	0
9922	2020-08-26 11:00:00	"NE"	"JASNO"	83	"MOŠKI"	0
6623	2020-06-29 16:00:00	"DA"	"DEŽEVNO"	57	"MOŠKI"	0
5849	2020-06-09 19:00:00	"DA"	"OBLAÈNO"	83	"MOŠKI"	0
7757	2020-07-14 19:00:00	"DA"	"JASNO"	25	"MOŠKI"	0
920	2020-01-23 22:00:00	"DA"	"OBLAÈNO"	34	"MOŠKI"	0,45
8008	2020-07-25 12:00:00	"DA"	"JASNO"	73	"ŽENSKI"	0
5666	2020-05-28 15:00:00	"DA"	"OBLAÈNO"	54	"MOŠKI"	0
5067	2020-03-15 11:00:00	"DA"	"NEZNANO"	41	"ŽENSKI"	0
8786	2020-08-07 15:00:00	"DA"	"JASNO"	21	"MOŠKI"	0
6072	2020-06-15 11:00:00	"DA"	"OBLAÈNO"	52	"MOŠKI"	0
169	2020-01-07 18:00:00	"NE"	"JASNO"	31	"ŽENSKI"	0
8208	2020-07-29 12:00:00	"DA"	"JASNO"	83	"MOŠKI"	0
6952	2020-07-03 09:00:00	"DA"	"DEŽEVNO"	52	"MOŠKI"	0
3163	2020-03-05 05:00:00	"DA"	"JASNO"	44	"ŽENSKI"	0
2920	2020-03-06 16:00:00	"NE"	"JASNO"	31	"MOŠKI"	0
3387	2020-03-20 06:00:00	"NE"	"JASNO"	30	"ŽENSKI"	0
4362	2020-05-04 02:00:00	"DA"	"JASNO"	26	"MOŠKI"	0
3309	2020-02-14 07:00:00	"DA"	"JASNO"	28	"MOŠKI"	0
3232	2020-03-11 14:00:00	"NE"	"JASNO"	63	"MOŠKI"	0
881	2020-01-17 16:00:00	"DA"	"OBLAÈNO"	21	"MOŠKI"	0
418	2020-01-13 15:00:00	"DA"	"OBLAÈNO"	33	"ŽENSKI"	0
4128	2020-04-25 11:00:00	"DA"	"JASNO"	67	"MOŠKI"	0
3365	2020-03-19 13:00:00	"NE"	"JASNO"	40	"MOŠKI"	0,66
2986	2020-03-09 15:00:00	"DA"	"JASNO"	49	"MOŠKI"	0
1561	2020-02-05 23:00:00	"DA"	"OBLAÈNO"	26	"MOŠKI"	0,34
3464	2020-03-20 11:00:00	"DA"	"JASNO"	75	"ŽENSKI"	0
5922	2020-06-12 17:00:00	"NE"	"JASNO"	40	"MOŠKI"	0
306	2020-01-10 11:00:00	"DA"	"JASNO"	39	"MOŠKI"	0
1099	2020-01-24 15:00:00	"NE"	"JASNO"	54	"MOŠKI"	0
5738	2020-06-05 15:00:00	"DA"	"NEZNANO"	30	"MOŠKI"	0
5052	2020-05-21 16:00:00	"DA"	"JASNO"	45	"MOŠKI"	0
1386	2020-01-27 14:00:00	"DA"	"JASNO"	54	"ŽENSKI"	0,23
1054	2020-01-22 12:00:00	"DA"	"JASNO"	69	"MOŠKI"	0
8639	2020-08-06 09:00:00	"DA"	"OBLAÈNO"	31	"ŽENSKI"	0
4824	2020-05-12 20:00:00	"NE"	"JASNO"	28	"MOŠKI"	0
9192	2020-08-08 18:00:00	"DA"	"JASNO"	27	"MOŠKI"	0
5103	2020-05-20 13:00:00	"DA"	"JASNO"	67	"MOŠKI"	0
32	2020-01-01 22:00:00	"DA"	"OBLAÈNO"	18	"ŽENSKI"	0
7964	2020-07-23 15:00:00	"NE"	"JASNO"	24	"MOŠKI"	0
4521	2020-05-09 07:00:00	"DA"	"JASNO"	30	"MOŠKI"	0,32
8474	2020-08-02 11:00:00	"NE"	"DEŽEVNO"	28	"MOŠKI"	0
5024	2020-05-19 17:00:00	"DA"	"OBLAÈNO"	42	"ŽENSKI"	0
5383	2020-05-26 23:00:00	"DA"	"JASNO"	36	"MOŠKI"	0
6100	2020-05-27 13:00:00	"DA"	"JASNO"	50	"ŽENSKI"	0,4
9070	2020-08-13 15:00:00	"DA"	"JASNO"	58	"MOŠKI"	0
6154	2020-06-04 07:00:00	"NE"	"JASNO"	61	"ŽENSKI"	0
301	2020-01-10 22:00:00	"DA"	"OBLAÈNO"	30	"MOŠKI"	0
1581	2020-02-06 18:00:00	"DA"	"JASNO"	20	"ŽENSKI"	0
1141	2020-01-27 06:00:00	"NE"	"MEGLA"	44	"ŽENSKI"	0
4678	2020-05-12 09:00:00	"DA"	"DEŽEVNO"	77	"MOŠKI"	0
3312	2020-03-10 12:00:00	"DA"	"JASNO"	19	"MOŠKI"	0
6812	2020-06-22 07:00:00	"DA"	"JASNO"	42	"ŽENSKI"	0
1975	2020-02-15 08:00:00	"NE"	"JASNO"	28	"MOŠKI"	0
3507	2020-03-11 13:00:00	"DA"	"JASNO"	47	"MOŠKI"	0
2064	2020-02-18 01:00:00	"DA"	"JASNO"	21	"MOŠKI"	0
6016	2020-06-13 14:00:00	"NE"	"JASNO"	44	"ŽENSKI"	0
7747	2020-07-18 02:00:00	"DA"	"OBLAÈNO"	28	"MOŠKI"	0,37
4309	2020-04-30 12:00:00	"DA"	"JASNO"	49	"MOŠKI"	0
3631	2020-02-22 10:00:00	"DA"	"NEZNANO"	73	"ŽENSKI"	0
6573	2020-06-22 16:00:00	"DA"	"JASNO"	20	"MOŠKI"	0
4672	2020-05-12 10:00:00	"NE"	"DEŽEVNO"	47	"MOŠKI"	0
7690	2020-07-18 00:00:00	"DA"	"OBLAÈNO"	31	"MOŠKI"	0,74
3397	2020-03-18 21:00:00	"DA"	"JASNO"	32	"ŽENSKI"	0
9379	2020-08-20 13:00:00	"DA"	"JASNO"	54	"MOŠKI"	0
5556	2020-06-04 19:00:00	"DA"	"DEŽEVNO"	19	"MOŠKI"	0
5577	2020-06-05 08:00:00	"DA"	"DEŽEVNO"	37	"MOŠKI"	0
4670	2020-05-12 08:00:00	"NE"	"DEŽEVNO"	52	"MOŠKI"	0
2475	2020-02-26 11:00:00	"NE"	"SNEG"	25	"ŽENSKI"	0
1580	2020-02-06 18:00:00	"DA"	"JASNO"	51	"MOŠKI"	1,25
2409	2020-02-24 09:00:00	"DA"	"OBLAÈNO"	70	"ŽENSKI"	0
5324	2020-05-22 12:00:00	"DA"	"JASNO"	75	"ŽENSKI"	0
4870	2020-05-14 08:00:00	"DA"	"JASNO"	75	"MOŠKI"	0
1205	2020-01-28 20:00:00	"NE"	"SNEG"	21	"MOŠKI"	0
5283	2020-05-27 18:00:00	"DA"	"JASNO"	77	"MOŠKI"	0
9174	2020-08-16 08:00:00	"NE"	"JASNO"	57	"MOŠKI"	0
9266	2020-08-19 10:00:00	"DA"	"OBLAÈNO"	47	"ŽENSKI"	0
6192	2020-06-18 22:00:00	"DA"	"OBLAÈNO"	47	"MOŠKI"	0
7858	2020-07-18 17:00:00	"NE"	"DEŽEVNO"	43	"MOŠKI"	1,47
2455	2020-02-20 09:00:00	"DA"	"JASNO"	79	"ŽENSKI"	0
2649	2020-03-02 19:00:00	"DA"	"DEŽEVNO"	51	"MOŠKI"	0,23
1018	2020-01-23 12:00:00	"DA"	"JASNO"	61	"ŽENSKI"	0
6925	2020-07-03 07:00:00	"NE"	"OBLAÈNO"	66	"MOŠKI"	0
1842	2020-02-12 16:00:00	"DA"	"JASNO"	52	"MOŠKI"	0,76
9344	2020-08-20 21:00:00	"NE"	"JASNO"	65	"MOŠKI"	0
3836	2020-04-11 13:00:00	"DA"	"JASNO"	54	"MOŠKI"	0,87
172	2020-01-06 16:00:00	"NE"	"JASNO"	61	"MOŠKI"	0
9366	2020-08-21 00:00:00	"NE"	"JASNO"	51	"MOŠKI"	0,85
1583	2020-02-05 16:00:00	"NE"	"OBLAÈNO"	34	"MOŠKI"	0
2068	2020-01-31 23:00:00	"DA"	"NEZNANO"	29	"MOŠKI"	0
5316	2020-05-25 12:00:00	"DA"	"JASNO"	73	"ŽENSKI"	0
9705	2020-08-28 10:00:00	"DA"	"JASNO"	75	"MOŠKI"	0
1526	2020-02-04 16:00:00	"DA"	"OBLAÈNO"	79	"ŽENSKI"	0
8750	2020-08-08 21:00:00	"NE"	"JASNO"	55	"MOŠKI"	0
5079	2020-05-22 15:00:00	"NE"	"JASNO"	33	"ŽENSKI"	0
652	2020-01-15 12:00:00	"DA"	"OBLAÈNO"	62	"ŽENSKI"	0
4224	2020-04-29 14:00:00	"DA"	"DEŽEVNO"	52	"ŽENSKI"	0
9505	2020-08-24 14:00:00	"NE"	"OBLAÈNO"	27	"ŽENSKI"	0
2228	2020-02-20 11:00:00	"DA"	"OBLAÈNO"	84	"MOŠKI"	0
6521	2020-06-26 20:00:00	"DA"	"JASNO"	19	"MOŠKI"	0
4216	2020-04-29 14:00:00	"DA"	"OBLAÈNO"	30	"MOŠKI"	0
9017	2020-08-01 09:00:00	"DA"	"JASNO"	83	"MOŠKI"	0
9655	2020-08-26 06:00:00	"NE"	"JASNO"	32	"ŽENSKI"	0
7874	2020-07-22 13:00:00	"DA"	"JASNO"	34	"ŽENSKI"	0
4928	2020-05-17 06:00:00	"DA"	"OBLAÈNO"	18	"MOŠKI"	0,37
4997	2020-05-21 09:00:00	"DA"	"JASNO"	77	"MOŠKI"	0
3869	2020-04-09 11:00:00	"DA"	"JASNO"	56	"ŽENSKI"	0
1529	2020-02-05 19:00:00	"DA"	"JASNO"	47	"MOŠKI"	0
6148	2020-06-16 13:00:00	"DA"	"OBLAÈNO"	70	"MOŠKI"	0
7871	2020-07-20 20:00:00	"NE"	"JASNO"	24	"ŽENSKI"	0
6236	2020-06-17 13:00:00	"NE"	"DEŽEVNO"	75	"ŽENSKI"	0
1245	2020-01-28 15:00:00	"DA"	"NEZNANO"	32	"MOŠKI"	0
2670	2020-02-27 14:00:00	"NE"	"JASNO"	25	"MOŠKI"	0
5387	2020-05-28 13:00:00	"DA"	"OBLAÈNO"	39	"ŽENSKI"	0
734	2020-01-20 15:00:00	"DA"	"OBLAÈNO"	79	"MOŠKI"	0
209	2020-01-08 13:00:00	"NE"	"JASNO"	23	"ŽENSKI"	0
1782	2020-02-11 12:00:00	"DA"	"JASNO"	22	"ŽENSKI"	0
7503	2020-07-15 21:00:00	"DA"	"JASNO"	60	"MOŠKI"	0
2821	2020-03-05 14:00:00	"DA"	"OBLAÈNO"	74	"MOŠKI"	0
6287	2020-06-21 14:00:00	"DA"	"JASNO"	43	"MOŠKI"	0
6367	2020-06-22 15:00:00	"NE"	"JASNO"	53	"MOŠKI"	0
9660	2020-08-27 15:00:00	"NE"	"JASNO"	44	"MOŠKI"	0
2710	2020-03-01 10:00:00	"NE"	"DEŽEVNO"	62	"MOŠKI"	0,29
782	2020-01-13 13:00:00	"DA"	"JASNO"	79	"ŽENSKI"	0
6851	2020-07-02 07:00:00	"NE"	"JASNO"	79	"ŽENSKI"	0
6452	2020-06-24 06:00:00	"NE"	"JASNO"	40	"ŽENSKI"	0
9943	2020-08-26 15:00:00	"NE"	"OBLAÈNO"	37	"ŽENSKI"	0
9891	2020-08-30 11:00:00	"DA"	"OBLAÈNO"	48	"ŽENSKI"	0
